Id,SalePrice
1461,126836.73515587822
1462,157217.92351871208
1463,184404.80067070626
1464,192718.94919446093
1465,196875.43258491257
1466,175385.54565669008
1467,171341.11488313955
1468,165836.67284998056
1469,175140.48429509488
1470,124799.09625882444
1471,194347.2524765592
1472,92437.87078624126
1473,97639.74202533772
1474,154252.71951422296
1475,120061.69288124327
1476,364471.32510957174
1477,257105.16800211993
1478,289455.6300757764
1479,296714.2701630914
1480,485221.4363786629
1481,312084.8829624322
1482,203921.5215964624
1483,176264.45843063307
1484,165516.31708661307
1485,170600.76390807613
1486,189432.94949182883
1487,318957.0726181992
1488,233687.27929607383
1489,193365.29518675982
1490,230057.4190630823
1491,192129.26663314478
1492,96605.02883680149
1493,174698.27128004777
1494,297723.2384828382
1495,286887.08136014
1496,243148.02183504408
1497,182979.4016945812
1498,160698.95397771
1499,160111.67847915375
1500,155486.9069688372
1501,173497.39183049602
1502,165587.16619615917
1503,290658.48794826615
1504,235003.55145080521
1505,229632.46158818336
1506,178047.509635481
1507,251697.5837437532
1508,195642.24693490844
1509,163625.78483154328
1510,150161.60781339806
1511,148737.1800258151
1512,172497.052622473
1513,138760.1687515364
1514,148737.2289394999
1515,196819.36972296188
1516,150600.1036475159
1517,158563.71993167282
1518,129606.62050741933
1519,217276.1267992116
1520,134850.69922633326
1521,141048.20057372356
1522,166716.1934677021
1523,112908.25014855897
1524,117156.3597794125
1525,124170.3659359242
1526,122165.70442726363
1527,102733.49458755803
1528,129868.73253962125
1529,142352.73545881803
1530,170478.285500394
1531,124612.91156949611
1532,96805.8047248826
1533,147464.33892971484
1534,122163.95187779937
1535,148912.026333792
1536,112412.71175122332
1537,65565.11840444095
1538,148897.8376439837
1539,190658.3866230723
1540,101747.18141304841
1541,136315.26509642304
1542,141290.28595632475
1543,192817.3648508459
1544,83857.84812199612
1545,97785.54405990084
1546,123520.73705814754
1547,137197.63972615008
1548,134564.22807273455
1549,117458.49731770765
1550,135536.00573592517
1551,109108.80516141692
1552,132015.66179280527
1553,136301.50765201103
1554,119780.04097409909
1555,174567.21525235454
1556,81603.61185797902
1557,107113.98392626931
1558,83845.3346875951
1559,80306.0191784336
1560,142474.80580661842
1561,133976.36225018292
1562,130367.3053905639
1563,120043.19532345253
1564,165673.39070796221
1565,146909.14733934385
1566,239479.75932162144
1567,78072.57605735412
1568,233934.58858992902
1569,144598.01659291945
1570,137734.43297813545
1571,123710.70405815331
1572,144609.37284935574
1573,229163.3451819337
1574,112295.42034927882
1575,220524.7522140155
1576,232316.83328184873
1577,191478.67061033263
1578,141226.20458609122
1579,146435.0975863797
1580,190607.21360104776
1581,149086.94332882154
1582,128223.56903027048
1583,341996.4297982213
1584,233704.470791647
1585,145184.47665424718
1586,83822.27792854402
1587,99590.71452378629
1588,147464.33892971484
1589,109317.35914832956
1590,134713.64662225047
1591,95868.66042005326
1592,133006.00785788943
1593,117382.03446559285
1594,121721.07196130363
1595,113825.55398757178
1596,229532.25235392223
1597,183252.00675681813
1598,202004.52028236233
1599,168932.74002294123
1600,171993.17125588912
1601,73017.92944667584
1602,118005.60131517643
1603,68192.62394278965
1604,269287.0953749502
1605,242985.0608890003
1606,163264.52658720128
1607,161323.61297026154
1608,211580.70435855252
1609,182740.16820968536
1610,156556.65272432892
1611,142301.4538590283
1612,173052.36684112297
1613,169441.3196169849
1614,119065.48351360817
1615,83505.35324800368
1616,75192.12849723437
1617,85458.65511415689
1618,125127.19973649274
1619,146533.73337300905
1620,165516.31708661307
1621,137166.32890421062
1622,143382.74711182888
1623,263587.61964669864
1624,221418.0077180228
1625,124679.53327664023
1626,156772.42629857094
1627,191376.68173372623
1628,268396.5325737046
1629,171911.28101828007
1630,413204.46807759657
1631,203469.23261675445
1632,240548.2917800095
1633,166045.65205272063
1634,182082.784556544
1635,177125.2712857354
1636,170394.08707771765
1637,202466.9987453021
1638,193422.28021945953
1639,179157.18100173672
1640,244317.92402310896
1641,174668.3674734953
1642,233886.73894974825
1643,226167.1495532034
1644,229793.53715663863
1645,199880.9308651196
1646,158207.35596034658
1647,158565.29505051512
1648,131712.11821035447
1649,144428.92468475515
1650,116800.56259238899
1651,126471.17786314737
1652,95464.96903620621
1653,99844.11668857465
1654,152313.8628503384
1655,142301.4538590283
1656,146638.2859560157
1657,150769.16738963668
1658,152793.04102047381
1659,126095.21473881057
1660,152682.41091654208
1661,497394.49148634967
1662,411586.15209487866
1663,394422.323821604
1664,505258.36377965764
1665,308939.56467352004
1666,317540.84289963375
1667,389991.98635649786
1668,343995.42943397
1669,296919.8730149334
1670,346862.16807200154
1671,278171.6548398626
1672,464836.7512701119
1673,311665.7737741012
1674,250583.4093020613
1675,199308.69178495617
1676,194000.83661390806
1677,210803.19256935114
1678,495778.38552844006
1679,416679.3401360697
1680,338368.63611297787
1681,236844.59674927502
1682,310878.0094118509
1683,184648.81814943362
1684,172401.31695547962
1685,175403.40992837568
1686,173113.14064949934
1687,170033.5965515332
1688,190303.2247307001
1689,185540.92010227303
1690,189984.45116679167
1691,177597.78367858034
1692,256970.65409812232
1693,165767.77750952676
1694,177646.65615728102
1695,171116.3758984417
1696,275399.78381632065
1697,170698.42348060352
1698,348338.6862699287
1699,344018.34911835205
1700,255933.81517434062
1701,263170.2132108546
1702,252584.55339180146
1703,249164.81627922333
1704,285786.68253066676
1705,232271.02842094473
1706,297149.33705475833
1707,220315.70221494176
1708,223670.41166954848
1709,262633.8079375998
1710,216549.54008624316
1711,254589.45766950943
1712,255997.90794544507
1713,277174.1207674587
1714,220693.37979472167
1715,200673.025730314
